bigram_text,hyperpartisan_freq,non_hyperpartisan_freq,bigram,freq,p_hyperpartisan,p_non_hyperpartisan,o_hyperpartisan,o_non_hyperpartisan,r
"('racism', 'anti')",2108,20,"('racism', 'anti')",2128,0.028106666666666665,0.0002666666666666667,0.028919497338528232,0.00026673779674579886,4.6860051537912195
"('https', 'twitter')",5291,65,"('https', 'twitter')",5356,0.07054666666666666,0.0008666666666666666,0.07590124661091106,0.000867418429305398,4.471666909854208
"('jpg', 'resize')",1886,23,"('jpg', 'resize')",1909,0.025146666666666668,0.0003066666666666667,0.025795333315096973,0.00030676073996025447,4.431880780215795
"('gt', 'gt')",6881,111,"('gt', 'gt')",6992,0.09174666666666667,0.00148,0.1010144012683686,0.0014821936465969636,4.221739909434435
"('data', 'recalc')",2451,61,"('data', 'recalc')",2512,0.03268,0.0008133333333333333,0.033784063184881946,0.0008139953829114346,3.7257897729850873
"('recalc', 'dims')",2451,61,"('recalc', 'dims')",2512,0.03268,0.0008133333333333333,0.033784063184881946,0.0008139953829114346,3.7257897729850873
"('dims', 'gt')",2451,61,"('dims', 'gt')",2512,0.03268,0.0008133333333333333,0.033784063184881946,0.0008139953829114346,3.7257897729850873
"('repeat', 'offenders')",2114,53,"('repeat', 'offenders')",2167,0.028186666666666665,0.0007066666666666666,0.029004198337129215,0.0007071663975876286,3.7139298732650476
"('state', 'shall')",1035,27,"('state', 'shall')",1062,0.0138,0.00036,0.01399310484688704,0.0003601296466728022,3.6598558800716954
"('com', 'gt')",2174,58,"('com', 'gt')",2232,0.028986666666666668,0.0007733333333333333,0.029851975942657843,0.0007739318406234154,3.652522503861785
"('re', 'ready')",8363,252,"('re', 'ready')",8615,0.11150666666666667,0.00336,0.1255008478773054,0.0033713276609407612,3.6170058830920677
"('legislature', 'may')",723,21,"('legislature', 'may')",744,0.00964,0.00028,0.009733834161315076,0.00028007842195814823,3.5482935108175666
"('lt', 'img')",2514,103,"('lt', 'img')",2617,0.03352,0.0013733333333333334,0.03468255939077891,0.001375221971507537,3.2276217974715506
"('giving', 'interviews')",542,22,"('giving', 'interviews')",564,0.007226666666666667,0.0002933333333333333,0.007279271535630826,0.0002934194030248873,3.211183077228929
"('baby', 'mama')",563,23,"('baby', 'mama')",586,0.007506666666666667,0.0003066666666666667,0.0075634429114553245,0.00030676073996025447,3.2050136819998873
"('realclearpolitics', 'com')",639,27,"('realclearpolitics', 'com')",666,0.00852,0.00036,0.008593214184854963,0.0003601296466728022,3.17226402624077
"('width', 'height')",2502,121,"('width', 'height')",2623,0.03336,0.0016133333333333334,0.034511296863361754,0.0016159403838192285,3.0613696475361962
"('white', 'privilege')",1136,54,"('white', 'privilege')",1190,0.015146666666666666,0.00072,0.015379616592656773,0.0007205187735169323,3.0608268424583223
"('foxnews', 'com')",1438,69,"('foxnews', 'com')",1507,0.019173333333333334,0.00092,0.019548136266006908,0.0009208471794050527,3.0553411357042815
"('stream', 'media')",502,24,"('stream', 'media')",526,0.006693333333333333,0.00032,0.006738435931165937,0.00032010243277848916,3.046942072281589
"('twitter', 'com')",6897,366,"('twitter', 'com')",7263,0.09196,0.00488,0.1012730716708515,0.004903931184178792,3.0277833824372036
"('sarah', 'kliff')",451,22,"('sarah', 'kliff')",473,0.006013333333333333,0.0002933333333333333,0.006049712269782291,0.0002934194030248873,3.0261629960121517
"('illegal', 'alien')",789,39,"('illegal', 'alien')",828,0.01052,0.00052,0.010631847030763633,0.0005202705406811541,3.017260265841525
"('season', 'one')",439,23,"('season', 'one')",462,0.005853333333333334,0.0003066666666666667,0.005887796569252022,0.00030676073996025447,2.9545690146792647
"('without', 'warning')",2167,118,"('without', 'warning')",2285,0.028893333333333333,0.0015733333333333333,0.02975299658122005,0.0015758126118426323,2.9381587690870274
"('person', 'shall')",785,42,"('person', 'shall')",827,0.010466666666666668,0.00056,0.0105773765411305,0.0005603137757144,2.937975770100059
"('src', 'https')",2486,136,"('src', 'https')",2622,0.033146666666666665,0.0018133333333333332,0.0342830350001379,0.001816627484505236,2.937668873791631
"('season', 'two')",637,36,"('season', 'two')",673,0.008493333333333334,0.00048,0.008566087973857968,0.0004802305106451097,2.8813002091049382
"('shall', 'take')",353,20,"('shall', 'take')",373,0.004706666666666666,0.0002666666666666667,0.004728924136268034,0.00026673779674579886,2.8751868590512752
"('c', 'johnson')",504,29,"('c', 'johnson')",533,0.00672,0.00038666666666666667,0.0067654639175257734,0.00038681623561110295,2.861636377510789
"('panther', 'party')",342,20,"('panther', 'party')",362,0.00456,0.0002666666666666667,0.004580888853170457,0.00026673779674579886,2.843382189794831
"('media', 'matters')",2464,160,"('media', 'matters')",2624,0.03285333333333333,0.0021333333333333334,0.033969339362523436,0.0021378941742383755,2.765637020481717
"('shall', 'continue')",362,24,"('shall', 'continue')",386,0.004826666666666667,0.00032,0.004850076368605804,0.00032010243277848916,2.718108682907152
"('first', 'monday')",330,22,"('first', 'monday')",352,0.0044,0.0002933333333333333,0.0044194455604660505,0.0002934194030248873,2.71216653322694
"('news', 'team')",738,50,"('news', 'team')",788,0.00984,0.0006666666666666666,0.009937787832269531,0.0006671114076050701,2.7011426629349926
"('obamacare', 'repeal')",964,68,"('obamacare', 'repeal')",1032,0.012853333333333333,0.0009066666666666666,0.013020692636014911,0.0009074894571077777,2.663613163638781
"('wonder', 'woman')",385,27,"('wonder', 'woman')",412,0.0051333333333333335,0.00036,0.00515982041144542,0.0003601296466728022,2.6621929576207783
"('darren', 'wilson')",1030,73,"('darren', 'wilson')",1103,0.013733333333333334,0.0009733333333333333,0.013924564012437475,0.0009742816341238806,2.6597093406820065
"('shall', 'appoint')",311,22,"('shall', 'appoint')",333,0.0041466666666666666,0.0002933333333333333,0.004163933109293202,0.0002934194030248873,2.6526123703870943
"('rape', 'culture')",336,24,"('rape', 'culture')",360,0.00448,0.00032,0.004500160720025715,0.00032010243277848916,2.643227343677198
"('hate', 'group')",543,39,"('hate', 'group')",582,0.00724,0.00052,0.007292799871066522,0.0005202705406811541,2.640293874549447
"('news', 'hour')",715,52,"('news', 'hour')",767,0.009533333333333333,0.0006933333333333333,0.009625092548966816,0.000693814377968725,2.62992431675953
"('pj', 'media')",272,20,"('pj', 'media')",292,0.0036266666666666665,0.0002666666666666667,0.003639867251900225,0.00026673779674579886,2.6134363494792248
"('afp', 'getty')",366,27,"('afp', 'getty')",393,0.00488,0.00036,0.004903931184178792,0.0003601296466728022,2.611328348661909
"('independent', 'journalism')",525,39,"('independent', 'journalism')",564,0.007,0.00052,0.007049345417925478,0.0005202705406811541,2.6063410961520543
"('false', 'flag')",1151,89,"('false', 'flag')",1240,0.015346666666666666,0.0011866666666666666,0.015585857628403905,0.0011880765174673946,2.574028313288688
